Entry	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
P9WN71	glucose metabolic process [GO:0006006]; pentose-phosphate shunt, oxidative branch [GO:0009051]	glucose-6-phosphate dehydrogenase activity [GO:0004345]; NADP binding [GO:0050661]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
P9WN73	glucose metabolic process [GO:0006006]; pentose-phosphate shunt, oxidative branch [GO:0009051]	glucose-6-phosphate dehydrogenase activity [GO:0004345]; NADP binding [GO:0050661]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
P9WN81	glycerol metabolic process [GO:0006071]; glycerol-3-phosphate catabolic process [GO:0046168]	glycerol-3-phosphate dehydrogenase (quinone) activity [GO:0004368]	cytoplasm [GO:0005737]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WN89	anaerobic respiration [GO:0009061]; tricarboxylic acid cycle [GO:0006099]	2 iron, 2 sulfur cluster binding [GO:0051537]; 3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; succinate dehydrogenase (quinone) activity [GO:0008177]	fumarate reductase complex [GO:0045283]; plasma membrane [GO:0005886]
P9WN91	anaerobic respiration [GO:0009061]; electron transport chain [GO:0022900]	electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; steroid dehydrogenase activity, acting on the CH-CH group of donors [GO:0033765]; succinate dehydrogenase (quinone) activity [GO:0008177]; succinate dehydrogenase activity [GO:0000104]	plasma membrane [GO:0005886]
P9WNA1	cell septum assembly [GO:0090529]; FtsZ-dependent cytokinesis [GO:0043093]		cell division site [GO:0032153]; cytosol [GO:0005829]; plasma membrane [GO:0005886]
P9WNA9		ATP binding [GO:0005524]; DNA binding [GO:0003677]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WNC9	folic acid-containing compound biosynthetic process [GO:0009396]		cytosol [GO:0005829]
P9WND5		FMN binding [GO:0010181]; oxidoreductase activity [GO:0016491]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WND7	mycofactocin biosynthetic process [GO:0140604]	FMN binding [GO:0010181]; oxidoreductase activity [GO:0016491]	plasma membrane [GO:0005886]
P9WNE7	response to host [GO:0075136]; response to hypoxia [GO:0001666]	3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]	cytosol [GO:0005829]
P9WNF5	cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198]	cell adhesion molecule binding [GO:0050839]	extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
P9WNG9	fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]	electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WNI7			extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WNJ7			extracellular region [GO:0005576]
P9WNK9	ribosomal small subunit assembly [GO:0000028]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosomal small subunit binding [GO:0043024]; rRNA binding [GO:0019843]	cell envelope [GO:0030313]; cytosol [GO:0005829]
P9WNL3	ribosome biogenesis [GO:0042254]	GTP binding [GO:0005525]; ribosome binding [GO:0043022]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WNM7	ribosome disassembly [GO:0032790]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]	cytoplasm [GO:0005737]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WNP9			plasma membrane [GO:0005886]
P9WNQ3			peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WNQ9		ATP binding [GO:0005524]; hydrolase activity [GO:0016787]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WNR3		ATP binding [GO:0005524]; hydrolase activity [GO:0016787]	extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WNS7		flavin adenine dinucleotide binding [GO:0050660]; tRNA binding [GO:0000049]; tRNA dihydrouridine synthase activity [GO:0017150]	
P9WNS9	D-amino acid catabolic process [GO:0019478]; tRNA metabolic process [GO:0006399]	D-tyrosyl-tRNA(Tyr) deacylase activity [GO:0051500]; Gly-tRNA(Ala) deacylase activity [GO:0106026]; Ser(Gly)-tRNA(Ala) hydrolase activity [GO:0043908]; tRNA binding [GO:0000049]	cytoplasm [GO:0005737]
P9WNT7	DNA replication [GO:0006260]	3'-5' exonuclease activity [GO:0008408]; DNA-directed DNA polymerase activity [GO:0003887]; nucleic acid binding [GO:0003676]	cytoplasm [GO:0005737]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WNX7	tricarboxylic acid cycle [GO:0006099]	succinate-semialdehyde dehydrogenase (NADP+) activity [GO:0036243]; succinate-semialdehyde dehydrogenase [NAD(P)+] activity [GO:0009013]	plasma membrane [GO:0005886]
P9WNX9	tricarboxylic acid cycle [GO:0006099]	aldehyde dehydrogenase [NAD(P)+] activity [GO:0004030]; succinate-semialdehyde dehydrogenase (NAD+) activity [GO:0004777]; succinate-semialdehyde dehydrogenase (NADP+) activity [GO:0036243]; succinate-semialdehyde dehydrogenase [NAD(P)+] activity [GO:0009013]	plasma membrane [GO:0005886]
P9WNZ7	fatty acid biosynthetic process [GO:0006633]	metal ion binding [GO:0046872]; stearoyl-[ACP] desaturase activity [GO:0045300]	cell surface [GO:0009986]; cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WP01	deoxyguanosine catabolic process [GO:0006161]	purine-nucleoside phosphorylase activity [GO:0004731]	cytoplasm [GO:0005737]
P9WP03	2-deoxyribose 1-phosphate catabolic process [GO:0006018]; carbohydrate catabolic process [GO:0016052]; deoxyribonucleotide catabolic process [GO:0009264]	deoxyribose-phosphate aldolase activity [GO:0004139]	cytoplasm [GO:0005737]
P9WP11		coenzyme F420 binding [GO:0070967]; coenzyme F420H2:quinone oxidoreductase activity [GO:0052755]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WP13		coenzyme F420 binding [GO:0070967]; coenzyme F420H2:quinone oxidoreductase activity [GO:0052755]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WP29	glycolipid biosynthetic process [GO:0009247]; phospholipid biosynthetic process [GO:0008654]; sphingolipid metabolic process [GO:0006665]	ATP binding [GO:0005524]; ATP-dependent diacylglycerol kinase activity [GO:0004143]; metal ion binding [GO:0046872]	plasma membrane [GO:0005886]
P9WP35		cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; quinol-cytochrome-c reductase activity [GO:0008121]	plasma membrane [GO:0005886]
P9WP39	lipid catabolic process [GO:0016042]	carboxylesterase activity [GO:0106435]; lipase activity [GO:0016298]	extracellular region [GO:0005576]
P9WP57	cell division [GO:0051301]; regulation of cell shape [GO:0008360]		plasma membrane [GO:0005886]
P9WP59	proteolysis [GO:0006508]; riboflavin biosynthetic process [GO:0009231]	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]	
P9WP61	cellular detoxification of fluoride [GO:0140114]; fluoride transmembrane transport [GO:1903424]	fluoride channel activity [GO:0062054]; fluoride transmembrane transporter activity [GO:1903425]; metal ion binding [GO:0046872]	plasma membrane [GO:0005886]
P9WP63	cellular detoxification of fluoride [GO:0140114]; fluoride transmembrane transport [GO:1903424]	fluoride channel activity [GO:0062054]; fluoride transmembrane transporter activity [GO:1903425]; metal ion binding [GO:0046872]	plasma membrane [GO:0005886]
P9WP71	aerobic respiration [GO:0009060]; electron transport coupled proton transport [GO:0015990]; oxidative phosphorylation [GO:0006119]; respiratory electron transport chain [GO:0022904]	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	plasma membrane [GO:0005886]
P9WP73	porphyrin-containing compound biosynthetic process [GO:0006779]	4 iron, 4 sulfur cluster binding [GO:0051539]; coproporphyrinogen oxidase activity [GO:0004109]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]
P9WP81	coenzyme gamma-F420-2 biosynthetic process [GO:2001121]; F420-0 metabolic process [GO:0052645]	LPPG:FO 2-phospho-L-lactate transferase activity [GO:0043743]; magnesium ion binding [GO:0000287]	
P9WP83	F420-0 metabolic process [GO:0052645]	GTP binding [GO:0005525]; phospholactate guanylyltransferase activity [GO:0043814]	
P9WP91	cobalamin biosynthetic process [GO:0009236]	adenosylcobinamide-GDP ribazoletransferase activity [GO:0051073]; cobalamin 5'-phosphate synthase activity [GO:0008818]	plasma membrane [GO:0005886]
P9WP97	cobalamin biosynthetic process [GO:0009236]	ATP binding [GO:0005524]; cobyrinic acid a,c-diamide synthase activity [GO:0042242]; hydrogenobyrinic acid a,c-diamide synthase (glutamine-hydrolysing) activity [GO:0043802]	plasma membrane [GO:0005886]
P9WP99	cobalamin biosynthetic process [GO:0009236]; porphyrin-containing compound biosynthetic process [GO:0006779]	ATP binding [GO:0005524]; corrinoid adenosyltransferase activity [GO:0008817]	cytoplasm [GO:0005737]
P9WPA1	coenzyme A biosynthetic process [GO:0015937]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P9WPA7	coenzyme A biosynthetic process [GO:0015937]	ATP binding [GO:0005524]; pantothenate kinase activity [GO:0004594]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P9WPD1	cellular response to heat [GO:0034605]; protein refolding [GO:0042026]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	cytoplasm [GO:0005737]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WPD5	tricarboxylic acid cycle [GO:0006099]	citrate synthase activity [GO:0036440]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
P9WPE1	oxaloacetate metabolic process [GO:0006107]	lyase activity [GO:0016829]; magnesium ion binding [GO:0000287]	
P9WPG3	glycerophospholipid biosynthetic process [GO:0046474]; phospholipid biosynthetic process [GO:0008654]	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity [GO:0008444]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WPG5	glycerophospholipid biosynthetic process [GO:0046474]; phospholipid biosynthetic process [GO:0008654]	cardiolipin synthase (CMP-forming) [GO:0043337]; CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity [GO:0008444]	plasma membrane [GO:0005886]
P9WPI1		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P9WPJ3	defense response to virus [GO:0051607]; maintenance of CRISPR repeat elements [GO:0043571]	hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; RNA endonuclease activity [GO:0004521]	
P9WPK1	glycerol catabolic process [GO:0019563]; glycerol metabolic process [GO:0006071]; glycerol-3-phosphate metabolic process [GO:0006072]	ATP binding [GO:0005524]; glycerol kinase activity [GO:0004370]	cytosol [GO:0005829]
P9WPK7	ergothioneine biosynthetic process [GO:0052699]; glutathione biosynthetic process [GO:0006750]	ATP binding [GO:0005524]; glutamate-cysteine ligase activity [GO:0004357]	plasma membrane [GO:0005886]
P9WPL3		heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	
P9WPN7	cholesterol catabolic process [GO:0006707]	cholest-4-en-3-one 26-monooxygenase activity [GO:0036199]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; steroid hydroxylase activity [GO:0008395]	cytoplasm [GO:0005737]
P9WPR5	carotene catabolic process [GO:0016121]; carotenoid catabolic process [GO:0016118]	carotenoid dioxygenase activity [GO:0010436]; metal ion binding [GO:0046872]	
P9WPS5		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]; P-type calcium transporter activity [GO:0005388]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WPS7	metal ion transport [GO:0030001]; response to copper ion [GO:0046688]; transmembrane transport [GO:0055085]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled monoatomic cation transmembrane transporter activity [GO:0019829]; cadmium ion transmembrane transporter activity [GO:0015086]; metal ion binding [GO:0046872]	membrane [GO:0016020]; plasma membrane [GO:0005886]
P9WPS9	export from cell [GO:0140352]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]; P-type calcium transporter activity [GO:0005388]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WPT1		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]; P-type calcium transporter activity [GO:0005388]	plasma membrane [GO:0005886]
P9WPT3		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled monoatomic cation transmembrane transporter activity [GO:0019829]; metal ion binding [GO:0046872]	plasma membrane [GO:0005886]
P9WPT7		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled monoatomic cation transmembrane transporter activity [GO:0019829]; metal ion binding [GO:0046872]	plasma membrane [GO:0005886]
P9WPT9	copper ion homeostasis [GO:0055070]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; copper ion binding [GO:0005507]; P-type divalent copper transporter activity [GO:0043682]	cytosol [GO:0005829]; membrane [GO:0016020]; plasma membrane [GO:0005886]
P9WPU3	potassium ion transmembrane transport [GO:0071805]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; magnesium ion binding [GO:0000287]; P-type potassium transmembrane transporter activity [GO:0008556]	plasma membrane [GO:0005886]; potassium ion-transporting ATPase complex [GO:0031004]; potassium:proton antiporter complex [GO:1903103]
P9WPU5		ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	cytosol [GO:0005829]; extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]; proton-transporting ATP synthase complex [GO:0045259]
P9WPU9	proton motive force-driven ATP synthesis [GO:0015986]; proton motive force-driven plasma membrane ATP synthesis [GO:0042777]	ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]; proton-transporting ATP synthase complex [GO:0045259]
P9WPV1	proton motive force-driven ATP synthesis [GO:0015986]	ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]; proton-transporting ATP synthase complex [GO:0045259]
P9WPV3	proton motive force-driven ATP synthesis [GO:0015986]	proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]; proton-transporting ATP synthase complex [GO:0045259]
P9WPV5		proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]; proton-transporting ATP synthase complex [GO:0045259]
P9WPW7	argininosuccinate metabolic process [GO:0000053]; L-arginine biosynthetic process [GO:0006526]; urea cycle [GO:0000050]	argininosuccinate synthase activity [GO:0004055]; ATP binding [GO:0005524]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]
P9WPW9	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) inhibitor activity [GO:0008657]; glutamate racemase activity [GO:0008881]	plasma membrane [GO:0005886]
P9WPY9	L-arginine biosynthetic process [GO:0006526]; protein complex oligomerization [GO:0051259]; regulation of arginine biosynthetic process [GO:1900079]; regulation of arginine metabolic process [GO:0000821]	arginine binding [GO:0034618]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	cytoplasm [GO:0005737]; transcription regulator complex [GO:0005667]
P9WPZ1		ATP binding [GO:0005524]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]	cytoplasm [GO:0005737]
